44263.5580    65.32    1.12    0.797    Vb
44274.3838    35.11    0.802    1.555    Va
44274.3874    64.06    1.12    0.797    Vb
44274.4093    35.23    0.802    1.555    Va
44274.4130    34.43    0.802    1.555    Va
44274.4130    65.61    1.12    0.797    Vb
44274.4167    64.68    1.12    0.797    Vb
44274.4203    63.91    1.12    0.797    Vb
44276.3707    34.5    0.802    1.555    Va
44276.3743    35.76    0.802    1.555    Va
44276.3853    64.52    1.12    0.797    Vb
44276.3890    64.09    1.12    0.797    Vb
44276.3926    34.32    0.802    1.555    Va
44281.4877    64.23    1.12    0.797    Vb
44281.4950    36.01    0.802    1.555    Va
44289.4427    36.35    0.802    1.555    Va
44289.4464    62.07    1.12    0.797    Vb
44291.7291    36    0.802    1.555    Va
44291.7291    63    1.12    0.797    Vb
44306.4593    38.12    0.802    1.555    Va
44306.4593    60.94    1.12    0.797    Vb
44307.6172    38.6    0.802    1.555    Va
44307.6172    62.9    1.12    0.797    Vb
44320.3532    39.46    0.802    1.555    Va
44320.3532    59.4    1.12    0.797    Vb
44348.3161    43.94    0.802    1.555    Va
44348.3161    58.4    1.12    0.797    Vb
44383.4049    45.26    0.802    1.555    Va
44383.4049    54.66    1.12    0.797    Vb
44396.3418    45.41    0.802    1.555    Va
44396.3418    53.37    1.12    0.797    Vb
44396.3491    46.62    0.802    1.555    Va
44396.3491    53.69    1.12    0.797    Vb
44536.2442    46.1    1.12    0.797    Vb
44536.2442    54    0.802    1.555    Va
44584.6826    45.43    1.12    0.797    Vb
44584.6826    54.37    0.802    1.555    Va
44622.5874    44.82    1.12    0.797    Vb
44622.5874    55.53    0.802    1.555    Va
44628.5445    44.52    1.12    0.797    Vb
44628.5445    55.29    0.802    1.555    Va
44686.3952    43.75    1.12    0.797    Vb
44686.3952    55.99    0.802    1.555    Va
44743.2379    43.4    1.12    0.797    Vb
44743.2379    57    0.802    1.555    Va
44944.6982    43.86    1.12    0.797    Vb
44944.6982    54.87    0.802    1.555    Va
44989.6303    45.29    1.12    0.797    Vb
44989.6303    54.45    0.802    1.555    Va
45044.4385    47.49    1.12    0.797    Vb
45044.4385    52.66    0.802    1.555    Va
45082.3653    48.25    0.802    1.555    Va
45082.3653    52.12    1.12    0.797    Vb
45437.3515    47.16    1.12    0.797    Vb
45437.3515    51.9    0.802    1.555    Va
46028.6457    47.49    1.12    0.797    Vb
46028.6457    52.06    0.802    1.555    Va
46037.6599    48.18    1.12    0.797    Vb
46037.6599    52.97    0.802    1.555    Va
46117.5530    44.18    0.802    1.555    Va
46117.5530    55.2    1.12    0.797    Vb
46122.5458    43.84    0.802    1.555    Va
46122.5458    56.16    1.12    0.797    Vb
46128.4007    42.42    0.802    1.555    Va
46128.4007    56.55    1.12    0.797    Vb
46140.3185    41.14    0.802    1.555    Va
46140.3185    58.28    1.12    0.797    Vb
46158.3505    38.21    0.802    1.555    Va
46158.3505    60.88    1.12    0.797    Vb
46158.3542    38.94    0.802    1.555    Va
46158.3542    61.22    1.12    0.797    Vb
46162.4376    38.7    0.802    1.555    Va
46162.4376    61.63    1.12    0.797    Vb
47990.3762    46.7    1.12    0.797    Vb
47990.3762    52.49    0.802    1.555    Va
48647.5382    43.31    1.12    0.797    Vb
48647.5382    55.7    0.802    1.555    Va
